conditionId,is_structurally_dead,done_clob_48h
0xa45ad035368cc1b74dfc4b62d2fa2156d9eada921f55c9f2e5928445d54e658a,False,True
0xe88715b55cf6d42b86369591c8567720d9bd9163e7c91c1139507ac3ab017dce,False,True
0x98c28bc20702919319fe133e2474ff7f8c36c916696961e63642627c7ef7b8f6,False,True
0x9d5ad99649d3fcc0b804a716b5013ba5206e7f39ce79905f58f6fd316c62223a,False,True
0x72efaaa88e436ab98e2314f9e3aa2ddae066ea274c8c956198b6b3b60be57819,False,True
0x21553a6826b04bd9c73dec69f5e78a395d0f5c6ed9e06703d8ed717638c655e3,False,True
0xbfe42b2169e0fe582eaaa464f09268a95154b5783e51c06fc1bbdec1a17dad5f,False,True
0x63e7daa9dfb88003869c99bcd46244c8432220a8d634db6b54b614652f3fb668,False,True
0x5ec51f747d2f47d9c2568697cacf2ba59096eb5334b9b0c2fdadbc7262afc429,False,True
0x3e98500c777cf3b8257ce8f95a12b454bda8a0e428715857d190dfa847414c00,False,True
0x0041067f48f7168d9065847d8ced235bd60e57c3009e2f3c7e225107e8ac81f3,False,True
0x815036d00fc540f27d713e41908d4458a35500ed3405958a982b882df02447e0,False,True
0xd426e560d68162bac5c17ced77769bd5dea58682e48445b0351dd2a15a912fd3,False,True
0xac912f749bd1bd450ce6b41af84f01507a9103dfb5b2b8516889e8079821a037,False,True
0x3607feeaee321ddc7622821083b28b84f24c5dce7a7984351794e86e1ba81d86,False,True
0x0977939866d5d7c09c275244d9c73344209fee8a0bc0d08297f53608b1683885,False,True
0x483169eff72d7ad87237bb6ebcfb146461e069fdece516b6be3e40db4dba3317,False,True
0x4d45c623ce4a04cc1ce283174c08735422acd77bd5f1c1f3c9d543cd26dd1a64,False,True
0x548213dec341d8587fd20c94f8fd7ac104e4da3a52263865c5b73e0566288abd,False,True
0x103ea1b8567573ec32dd3b259ff7716e21d6b0a379f16b173f52f2070bf2aad2,False,True
0x3c6f306469562579efb124b4e4f1ea686b32c579e372d8563de49747e707fc34,False,True
0x969cd20c0ed0655fcc77a0b66d44b37a1786ad1da0366c04645ca9ab7d5e8db9,False,True
0x192eab3d07021a94b97938a0a79e8025f34c9421f5d8d0039f41d31aaee74ff9,False,True
0x3bab23f46ec0cb2080d6898b7dc67c5bbbf9eb0e955fc6cd5bd3dc7bb36eb01b,False,True
0x1b6ed5a03d6aba997ef6260f416a7dc309281dcdafe66d154cefacc8d6955b95,False,True
0xb63eaa14504876b78a41c04e2fbebbf9286b33c6241e7f4a7eb177a0cf5691c3,False,True
0xc02e2e9f75479e905380a2ef6337ed7c1799c101fb524687d42757ec1d26ca0f,False,True
0x5d5dfc1fb1707104f04d49f03b71105ae8009a89993c230ca16ecd7fc7643819,False,True
0x3a2c073d20c54bfb578b0c0e86dbcfee7c4e40590a71084368ef68676baac23c,False,True
0x9e9550512ee307463f8f0f80bae27e955d335bf4439e090271053987ae37c18f,False,True
0x6f8150942b1c61fe102b0a24db0b5d004675eb11949fd6be40549360a94af101,False,True
0xc771c39d3258dd41e020ef40c31218b37b3cc3c000fee1a39d637774f5d3f138,False,True
0x7b1434f472c135fac3fdcb6a3502d1b87b861a1d2f4939eb50b11d1608579247,False,True
0x856cb1b505e4c40ad250f4c1285ddcdb27d19cd7a767026d45472e51af9d397b,False,True
0x9973c79d6b9c771c22a121f11a4bf02226225bb54efa8d0a394279038fce732d,False,True
0x4deaaa0066811b5aa58d09e07e358e55c4a6327c78a37433568ca3105aad81ae,False,True
0x833802a6e1cec0ca5db47dd43caa574fb18d743c37b1225d7422cb29e0b541e2,False,True
0xe2f5ab0770da5948d6e341b0e993d7792f680a60bf0fbbdaffa5870ae7943470,False,True
0x47ee820e618646843979ac5ea0d6c905809395016de04c262854173f67094c20,False,True
0x1bf393583443e7536cbbef71b5f95ff30df1411ab51009877cef8dae6aecf4ac,False,True
0x19f94db34f4d4cfe39d9b8053cdea10c87894c35768c31834ff47c6d4a78f599,False,True
0xf3fbc8dae7e93fbcdc42a30e8650699325b210261e470188e1efe9060a7d886d,False,True
